대여건수,반납건수
90.42424242424242,88.12121212121212
99.015625,95.28125
237.4927536231884,223.04347826086956
298.1168831168831,281.2597402597403
451.86842105263156,426.4868421052632
630.025974025974,584.2727272727273
81.92857142857143,81.5952380952381
85.9047619047619,86.80952380952381
253.33333333333334,263.5238095238095
352.17021276595744,364.70212765957444
584.4255319148937,607.7021276595744
850.4042553191489,897.0
67.78571428571429,64.71428571428571
71.32142857142857,71.53571428571429
207.25,209.25
285.65714285714284,291.6
428.8857142857143,438.2857142857143
593.3142857142857,607.2857142857143
92.4054054054054,93.29729729729729
95.62162162162163,94.8108108108108
247.1891891891892,260.4864864864865
321.92452830188677,343.20754716981133
592.4150943396227,625.6603773584906
861.4150943396227,908.9433962264151
147.93939393939394,146.8181818181818
145.2941176470588,143.6764705882353
310.7142857142857,306.04761904761904
457.8,460.6666666666667
698.1521739130435,695.4130434782609
1015.6086956521739,1016.8695652173913
220.73809523809524,212.35714285714286
231.0,227.45238095238096
670.3720930232558,670.2558139534884
823.06,818.22
1183.72,1172.24
1482.72,1458.96
104.68571428571428,101.57142857142857
115.25714285714285,112.62857142857143
251.11111111111111,251.11111111111111
363.24,362.8
572.26,566.34
805.68,795.9
73.06896551724138,78.20689655172414
69.44827586206897,72.20689655172414
149.96875,149.71875
210.27777777777777,203.36111111111111
303.72222222222223,298.0833333333333
407.94444444444446,404.3333333333333
92.41666666666667,93.91666666666667
103.05555555555556,102.97222222222223
285.21276595744683,282.1914893617021
414.7586206896552,411.8103448275862
660.6896551724138,658.6206896551724
874.6034482758621,875.3620689655172
50.5625,49.375
67.125,64.5625
190.26315789473685,190.6315789473684
290.4761904761905,306.85714285714283
495.2857142857143,519.2380952380952
683.1904761904761,729.1428571428571
185.41666666666666,191.13888888888889
179.25,186.36111111111111
454.0,467.7027027027027
572.1,583.7
776.2926829268292,790.0731707317074
1004.219512195122,1034.0975609756097
123.42857142857143,124.21428571428571
136.92857142857142,139.17857142857142
365.7931034482759,370.86206896551727
467.0857142857143,476.65714285714284
718.6285714285714,730.5714285714286
967.5714285714286,988.4
284.2463768115942,298.1449275362319
283.60869565217394,296.18840579710144
725.0289855072464,746.0579710144928
915.0,926.9861111111111
1235.4583333333333,1245.7916666666667
1517.8333333333333,1522.4722222222222
187.46666666666667,166.04444444444445
181.86666666666667,165.17777777777778
446.3333333333333,411.84444444444443
552.4782608695652,512.9565217391304
724.4255319148937,674.3829787234042
938.3478260869565,872.1086956521739
119.82456140350877,118.64912280701755
124.82456140350877,124.56140350877193
292.640625,292.3125
370.57894736842104,362.11842105263156
511.5897435897436,503.61538461538464
707.2727272727273,686.2337662337662
197.94444444444446,201.44444444444446
199.87037037037038,198.83333333333334
515.8181818181819,506.94545454545454
697.125,684.2678571428571
972.8035714285714,960.7678571428571
1170.9464285714287,1167.517857142857
101.13157894736842,97.92105263157895
108.0,108.5
333.63157894736844,337.8421052631579
402.5111111111111,403.31111111111113
615.6222222222223,608.8
811.0,817.8888888888889
122.98181818181818,123.89090909090909
133.80357142857142,135.55357142857142
422.9824561403509,430.4736842105263
532.072463768116,540.927536231884
912.304347826087,917.4782608695652
1235.8260869565217,1246.0869565217392
101.42857142857143,100.52380952380952
83.66666666666667,86.33333333333333
227.19444444444446,241.27777777777777
324.1707317073171,338.5853658536585
527.3414634146342,542.9512195121952
711.2439024390244,751.560975609756
251.17910447761193,249.6417910447761
253.1044776119403,250.40298507462686
622.5797101449275,613.231884057971
873.4794520547945,857.8356164383562
1186.876712328767,1171.6027397260275
1425.972602739726,1399.6575342465753
125.25,126.16666666666667
143.08333333333334,149.58333333333334
389.4583333333333,394.7916666666667
465.6363636363636,468.42424242424244
722.969696969697,724.4242424242424
918.5757575757576,917.6060606060606
157.70967741935485,161.06451612903226
157.51612903225808,161.8709677419355
320.2439024390244,331.5121951219512
416.7083333333333,433.125
578.8125,596.5208333333334
743.9795918367347,784.1020408163265
306.3137254901961,300.7647058823529
298.98039215686276,289.6078431372549
652.3921568627451,612.5686274509804
751.7169811320755,703.4905660377359
915.7272727272727,858.4727272727273
1138.1090909090908,1052.0181818181818
228.24242424242425,223.21212121212122
225.6060606060606,214.3939393939394
504.75757575757575,477.72727272727275
607.3939393939394,566.060606060606
734.2424242424242,684.060606060606
950.78125,874.125
72.75,73.35
76.97619047619048,77.26190476190476
222.2325581395349,229.67441860465115
315.48979591836735,334.2244897959184
482.9387755102041,510.85714285714283
632.72,663.88
630.025974025974,584.2727272727273
559.7564102564103,514.1025641025641
536.493670886076,484.2911392405063
749.5308641975308,684.9753086419753
666.1847826086956,612.0978260869565
441.14736842105265,412.10526315789474
850.4042553191489,897.0
790.3404255319149,833.0212765957447
719.0425531914893,745.063829787234
866.7543859649123,896.4035087719299
832.4561403508771,860.4912280701755
555.8421052631579,567.0877192982456
593.3142857142857,607.2857142857143
527.7777777777778,543.25
479.80555555555554,485.27777777777777
700.9444444444445,708.0277777777778
618.5405405405405,622.5675675675676
425.64864864864865,429.2972972972973
861.4150943396227,908.9433962264151
840.6037735849056,889.5849056603773
740.566037735849,779.3584905660377
992.188679245283,1041.7358490566037
777.3676470588235,807.0147058823529
500.3157894736842,516.0131578947369
1015.6086956521739,1016.8695652173913
935.1086956521739,941.2173913043479
812.5869565217391,816.7391304347826
1072.8260869565217,1070.3478260869565
1017.1428571428571,1011.8979591836735
683.9019607843137,678.0
1482.72,1458.96
1310.88,1286.88
1209.92,1188.72
1724.56,1707.6
1501.25,1490.6346153846155
1009.9824561403509,1001.4561403508771
805.68,795.9
729.6,732.52
