구명,대여일자,대여건수,반납건수
강남구,201805,34342,32413
강동구,201805,27468,28562
강북구,201805,15011,15340
강서구,201805,31398,33160
관악구,201805,32115,31989
광진구,201805,59186,58612
구로구,201805,28613,28317
금천구,201805,10934,10731
노원구,201805,38320,38200
도봉구,201805,10401,10904
동대문구,201805,31828,32393
동작구,201805,25152,25570
마포구,201805,88953,89697
서대문구,201805,34048,31696
서초구,201805,39904,39282
성동구,201805,54477,53803
성북구,201805,27703,27396
송파구,201805,62949,63306
양천구,201805,21621,22261
영등포구,201805,86642,85527
용산구,201805,23858,23906
은평구,201805,27783,28633
종로구,201805,50365,47216
중구,201805,24230,22574
중랑구,201805,23664,25032
