구명,대여일자,대여건수,반납건수
강남구,201804,22955,21657
강동구,201804,16552,17141
강북구,201804,9998,10206
강서구,201804,17062,18190
관악구,201804,20601,20730
광진구,201804,41153,40911
구로구,201804,18162,18140
금천구,201804,7570,7321
노원구,201804,24056,23885
도봉구,201804,6100,6444
동대문구,201804,22884,23348
동작구,201804,16348,16683
마포구,201804,65880,66743
서대문구,201804,25414,23596
서초구,201804,28164,27521
성동구,201804,39039,38319
성북구,201804,18113,18149
송파구,201804,36713,37324
양천구,201804,13291,13882
영등포구,201804,63764,62622
용산구,201804,15366,15458
은평구,201804,20002,20790
종로구,201804,39841,37285
중구,201804,20044,18680
중랑구,201804,15459,16377
